Rk,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1268,29,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1269,31,37,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
1270,34,111,471,389,42,81,20,0,14,48,66,2,128,14,0,2,8,1,0,0.208,0.342,0.368,0.709,*7D/H
1271,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1272,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1273,32,33,11,8,1,1,0,0,0,0,1,0,5,0,2,0,0,0,0,0.125,0.222,0.125,0.347,*1
1274,32,30,65,60,9,12,1,1,1,4,5,0,17,0,0,0,6,0,0,0.2,0.262,0.3,0.562,*4H/56
1275,25,58,6,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,*1
1276,35,30,66,64,6,15,3,0,1,3,2,0,14,0,0,0,1,1,1,0.234,0.258,0.328,0.586,*8H/79D
1277,24,26,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,*1
1278,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1279,22,32,62,59,6,9,1,0,0,0,3,0,12,0,0,0,2,3,0,0.153,0.194,0.169,0.363,*H*4
1280,22,31,22,21,1,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,*1
1281,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1282,26,37,67,63,8,14,1,0,3,8,3,0,21,0,1,0,0,1,0,0.222,0.258,0.381,0.639,*1/H
1283,27,27,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
1284,24,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1285,25,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*1
1286,27,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,/*5HD
1287,30,112,492,430,63,132,23,6,18,58,55,5,79,5,0,2,11,17,3,0.307,0.39,0.514,0.904,*5/H
1288,38,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
1289,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1290,28,71,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
1291,21,62,273,240,34,69,12,1,4,16,31,1,66,1,0,1,4,10,0,0.288,0.37,0.396,0.766,*7/8H
1292,34,28,118,105,12,23,7,0,2,8,8,1,31,5,0,0,4,0,0,0.219,0.305,0.343,0.648,*5/3D
1293,29,107,375,335,46,67,18,3,12,40,36,3,93,2,0,2,7,10,3,0.2,0.28,0.379,0.659,*897H/D
1294,27,103,361,334,30,87,16,0,11,38,20,0,78,4,0,3,8,0,0,0.26,0.307,0.407,0.715,*9DH
1295,28,148,598,539,70,134,27,7,2,32,46,1,100,2,10,1,6,46,11,0.249,0.31,0.336,0.645,*7H98/4D
1296,36,147,565,519,52,145,26,5,8,46,43,4,83,1,0,2,21,1,0,0.279,0.335,0.395,0.73,*53H/46
1297,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
1298,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
