Rk,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
734,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
735,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
736,26,155,583,533,68,146,13,7,7,40,39,3,114,2,7,2,4,31,12,0.274,0.325,0.364,0.689,*8/HD
737,31,111,460,379,45,110,20,0,11,67,59,5,78,15,2,5,16,4,4,0.29,0.402,0.43,0.832,*2/HD
738,22,57,13,12,0,3,0,0,0,2,0,0,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5,*1
739,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
740,26,123,480,441,57,139,30,3,23,76,30,5,126,3,0,6,8,6,3,0.315,0.358,0.553,0.912,*79/HD
741,31,26,44,39,2,5,1,0,0,2,4,1,13,0,1,0,0,0,0,0.128,0.209,0.154,0.363,*H/7489
742,23,32,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,*1/H
743,35,151,641,561,87,188,33,0,32,103,70,28,42,4,0,6,17,3,2,0.335,0.409,0.565,0.974,*D3/2H
744,32,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
745,29,28,13,11,1,2,0,0,0,1,0,0,4,0,2,0,0,0,0,0.182,0.182,0.182,0.364,*1
746,28,21,44,43,7,5,0,0,1,2,1,0,10,0,0,0,4,1,0,0.116,0.136,0.186,0.322,9H/87D
747,31,64,195,175,12,35,7,0,2,12,15,2,64,0,5,0,2,0,0,0.2,0.263,0.274,0.537,*2/H
748,33,34,17,11,0,2,0,0,0,1,1,0,6,0,5,0,0,0,0,0.182,0.25,0.182,0.432,*1
749,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
750,27,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
751,23,21,43,38,2,7,1,0,0,0,2,0,13,0,3,0,1,0,0,0.184,0.225,0.211,0.436,*1/H
752,31,120,518,455,60,126,27,2,4,55,60,12,96,1,0,2,12,3,0,0.277,0.361,0.371,0.732,*3D/H
753,23,38,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,*1
754,30,20,45,40,4,6,1,0,0,3,2,0,20,2,0,1,0,0,1,0.15,0.222,0.175,0.397,/9H8D7
755,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
756,30,78,168,146,15,31,10,0,7,23,20,0,35,1,0,1,2,0,0,0.212,0.31,0.425,0.734,H378/9D
757,27,95,272,251,24,59,13,4,1,15,19,2,56,1,0,1,8,4,3,0.235,0.29,0.331,0.621,*8H
758,27,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/*1
759,26,22,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1,*1
760,29,21,34,31,6,7,2,0,2,6,2,0,12,1,0,0,0,0,0,0.226,0.294,0.484,0.778,*H/397
761,30,140,538,495,57,115,15,1,23,75,32,1,77,7,0,4,16,0,0,0.232,0.286,0.406,0.692,*23HD
762,24,9,12,12,2,3,1,0,0,0,0,0,2,0,0,0,0,1,0,0.25,0.25,0.333,0.583,/*2HD
763,30,32,32,29,0,4,0,0,0,3,0,0,11,0,3,0,0,0,0,0.138,0.138,0.138,0.276,*1
764,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
765,27,146,648,548,89,172,38,6,25,83,84,8,115,10,0,6,9,18,3,0.314,0.41,0.542,0.952,*8
766,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
767,39,95,91,76,4,13,2,0,0,5,7,0,18,2,5,1,1,1,1,0.171,0.256,0.197,0.453,*5H6/4D
768,25,37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,*1
769,27,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
770,31,160,691,616,56,177,29,1,4,76,67,3,102,1,0,7,31,4,2,0.287,0.355,0.357,0.712,*5/HD
771,32,53,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,*1
772,27,25,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,*1
773,29,57,192,168,23,53,9,0,8,22,22,1,42,1,1,0,6,0,3,0.315,0.398,0.512,0.91,*2/H
774,32,79,162,139,10,24,6,0,1,7,16,1,35,5,1,1,0,4,1,0.173,0.28,0.237,0.517,H79/8D
775,26,102,259,240,31,56,11,2,9,27,14,0,75,4,0,1,5,6,1,0.233,0.286,0.408,0.694,3H7/D
776,25,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
777,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
778,24,63,18,17,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,*1
779,29,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
780,23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
781,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
782,27,149,555,506,56,129,27,2,12,55,35,12,89,4,5,5,14,4,1,0.255,0.305,0.387,0.693,*6/H9
783,26,114,440,384,54,105,25,0,25,80,41,4,103,12,0,3,5,1,3,0.273,0.359,0.534,0.893,*2/HD
784,25,63,234,215,14,41,10,0,2,19,15,1,70,4,0,0,7,1,1,0.191,0.256,0.265,0.522,*5/H3
785,25,10,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,*1
786,27,33,69,57,3,9,0,0,0,1,3,0,14,0,9,0,0,0,0,0.158,0.2,0.158,0.358,*1
787,29,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
788,24,123,411,367,47,81,15,4,10,36,34,2,95,2,3,3,2,4,2,0.221,0.288,0.365,0.653,*64/H5D
789,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
790,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
791,23,32,63,48,6,9,5,0,0,4,2,0,25,0,13,0,1,0,0,0.188,0.22,0.292,0.512,*1
792,29,5,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,/*1
793,27,23,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1/H
794,26,25,48,45,4,7,1,0,1,4,1,0,16,0,2,0,0,0,0,0.156,0.174,0.244,0.418,*1
795,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
796,39,80,247,225,4,40,2,0,0,10,14,0,55,2,4,2,8,3,0,0.178,0.23,0.187,0.417,*2/H
797,31,110,445,404,40,114,21,0,7,38,28,4,55,6,1,6,14,1,1,0.282,0.333,0.386,0.719,*2/D3H
798,24,6,17,17,1,4,0,0,1,2,0,0,3,0,0,0,1,0,0,0.235,0.235,0.412,0.647,/*D3H
799,30,136,560,489,40,119,23,0,13,72,56,11,97,9,0,6,12,0,4,0.243,0.329,0.37,0.699,*2/HD
800,23,10,13,11,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,*1
801,30,9,12,10,1,2,1,0,0,1,2,1,5,0,0,0,0,0,0,0.2,0.333,0.3,0.633,/*H2
802,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
803,27,42,100,91,8,21,2,0,4,14,7,0,29,2,0,0,2,0,0,0.231,0.3,0.385,0.685,*3H/7
804,28,38,39,30,2,3,0,0,0,0,3,0,15,0,6,0,0,0,0,0.1,0.182,0.1,0.282,*1
805,31,98,401,367,28,80,20,0,8,42,27,3,68,3,0,4,12,0,0,0.218,0.274,0.338,0.612,*D3/H
806,27,23,41,39,1,7,2,0,0,4,2,1,9,0,0,0,1,0,0,0.179,0.22,0.231,0.45,*5H/3
807,28,52,184,167,18,41,9,1,2,23,12,0,43,1,2,2,7,0,0,0.246,0.297,0.347,0.644,D3/H71
808,33,15,52,41,8,14,1,0,1,6,7,0,6,0,3,1,0,3,0,0.341,0.429,0.439,0.868,*8/7H
809,23,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
810,33,135,550,502,62,160,32,3,17,82,34,4,60,6,0,8,7,0,3,0.319,0.364,0.496,0.86,*3/HD
811,27,60,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
812,26,99,365,336,41,88,20,0,11,38,24,1,59,3,0,2,9,5,2,0.262,0.315,0.42,0.735,*3D/9H7
813,29,13,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,*1
814,32,131,482,438,48,122,32,3,16,61,31,0,121,9,0,4,19,0,0,0.279,0.336,0.475,0.811,*73/HD
815,30,26,49,40,1,2,0,0,0,1,1,0,21,0,8,0,2,0,0,0.05,0.073,0.05,0.123,*1
816,30,147,580,500,70,117,23,2,25,81,67,7,153,10,0,3,6,1,0,0.234,0.334,0.438,0.772,379HD
817,32,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
818,25,140,500,457,45,97,21,1,15,54,35,1,74,3,1,4,12,1,0,0.212,0.271,0.361,0.632,*5/H
819,22,11,8,8,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0.375,0.375,0.375,0.75,/*H9D
820,30,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
821,29,143,642,596,79,172,37,2,9,57,39,3,86,2,0,5,15,13,5,0.289,0.332,0.403,0.734,*45/3H
822,32,129,462,416,40,109,25,1,8,58,36,2,61,2,1,7,6,2,3,0.262,0.319,0.385,0.703,*9H/7D
823,31,45,128,112,11,22,3,0,4,14,11,0,38,1,1,3,2,0,1,0.196,0.268,0.33,0.598,4/DH35
824,23,32,85,81,7,23,4,0,1,9,4,0,22,0,0,0,0,0,0,0.284,0.318,0.37,0.688,*2/HD
825,23,87,361,325,37,72,14,0,6,35,34,3,90,0,0,2,10,6,1,0.222,0.294,0.32,0.614,*9/DH38
826,35,22,42,37,4,5,1,0,3,4,5,0,9,0,0,0,4,0,0,0.135,0.238,0.405,0.644,*H/973
827,32,119,500,415,49,103,20,0,17,55,78,3,133,4,0,3,12,3,2,0.248,0.37,0.419,0.789,*3/DH
828,39,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
829,31,113,408,363,41,98,21,0,4,37,33,1,81,10,0,2,5,4,2,0.27,0.346,0.361,0.706,*97H3/D
830,30,139,520,481,40,132,22,0,12,69,32,1,76,1,0,6,12,3,0,0.274,0.317,0.395,0.712,*2DH
831,28,64,174,159,17,39,10,1,1,14,13,2,27,0,2,0,0,1,3,0.245,0.302,0.34,0.642,37H/9D
832,28,49,158,144,19,39,10,1,6,17,12,0,40,1,1,0,2,5,0,0.271,0.331,0.479,0.81,*54/H67
833,28,27,81,73,5,17,3,0,0,7,7,1,14,0,0,1,5,1,2,0.233,0.296,0.274,0.57,*5/H43
834,25,14,22,21,1,3,1,0,0,0,0,0,7,0,1,0,1,0,0,0.143,0.143,0.19,0.333,*1
835,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
836,33,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
837,27,33,27,24,0,2,0,0,0,4,0,0,13,0,2,1,0,0,0,0.083,0.08,0.083,0.163,*1
838,27,31,65,55,3,5,1,0,0,4,6,0,29,0,4,0,0,0,0,0.091,0.18,0.109,0.289,*1/H
839,24,48,118,106,8,25,5,0,2,7,8,0,38,1,3,0,3,0,1,0.236,0.296,0.34,0.635,*2/HD
840,26,61,130,112,16,29,14,1,3,16,16,3,39,0,0,2,1,4,0,0.259,0.346,0.482,0.828,*H78/9
841,36,36,128,122,9,31,8,0,1,7,1,0,34,2,2,1,2,1,0,0.254,0.27,0.344,0.614,*2/3H
842,31,41,91,83,2,10,0,0,1,4,3,0,28,2,1,1,2,1,2,0.12,0.169,0.157,0.325,54/6H93
843,27,33,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
844,31,27,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,*1
845,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
846,29,29,4,3,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0.333,0.333,0.333,0.667,*1/H
847,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
848,25,127,442,385,46,104,19,1,10,55,54,2,86,1,1,1,12,2,2,0.27,0.361,0.403,0.763,*2HD
849,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
850,27,72,213,204,26,51,7,4,4,24,5,0,31,1,3,0,7,9,3,0.25,0.271,0.382,0.654,H657/D94
851,26,31,25,18,2,1,0,0,0,0,0,0,8,1,6,0,1,0,0,0.056,0.105,0.056,0.161,*1
852,31,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
853,29,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
854,26,11,16,16,3,3,0,0,0,1,0,0,8,0,0,0,0,2,0,0.188,0.188,0.188,0.375,/*H794D
855,26,3,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,/*1
856,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
857,20,114,417,386,39,100,14,7,9,48,17,1,71,5,6,3,7,4,7,0.259,0.297,0.402,0.698,*4/HD
858,24,31,6,4,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0.2,0,0.2,*1
859,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
860,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
861,35,8,25,23,4,5,0,1,0,2,1,0,12,0,0,1,1,0,0,0.217,0.24,0.304,0.544,/*2
862,25,89,258,225,23,36,8,0,12,33,25,0,100,3,0,5,3,0,1,0.16,0.248,0.356,0.604,*5H3/D
863,29,40,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,*1
864,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
865,38,142,602,518,59,136,27,0,35,104,75,22,95,3,0,6,18,0,0,0.263,0.355,0.517,0.873,*D/H3
866,29,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
867,28,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
868,29,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
869,37,121,296,258,24,60,14,0,4,35,36,2,60,1,0,1,8,2,0,0.233,0.328,0.333,0.661,*3H/1
870,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
871,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
872,22,91,332,310,34,81,15,6,6,26,16,0,67,2,2,2,4,8,1,0.261,0.3,0.406,0.706,*64H
873,23,153,612,565,72,152,26,5,23,85,41,1,164,1,0,5,12,3,1,0.269,0.317,0.455,0.772,*87/H9
874,28,69,165,153,10,39,10,1,0,16,9,0,27,1,1,1,6,0,0,0.255,0.299,0.333,0.632,H23/54
875,32,96,413,383,56,115,21,2,3,27,25,1,53,1,1,3,5,16,6,0.3,0.342,0.389,0.731,*8/H
876,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*2
877,23,73,287,269,31,82,10,2,1,18,16,0,33,0,1,1,4,0,0,0.305,0.343,0.368,0.711,*4/H
878,33,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
879,25,27,65,63,12,18,4,0,2,8,2,0,16,0,0,0,1,4,0,0.286,0.308,0.444,0.752,*5/H4D
880,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
881,24,18,26,26,1,5,1,0,0,1,0,0,14,0,0,0,0,0,0,0.192,0.192,0.231,0.423,*H/93
882,26,87,270,250,27,64,11,0,7,28,17,0,64,2,0,1,7,0,3,0.256,0.307,0.384,0.691,397H/8D
883,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
884,27,150,574,529,64,138,22,4,9,40,32,5,100,5,6,2,10,9,7,0.261,0.308,0.369,0.677,*97H8
885,31,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
886,28,21,51,46,4,7,3,0,1,3,3,0,14,1,0,1,1,0,0,0.152,0.216,0.283,0.498,*6/47H5
887,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
888,24,28,47,40,4,8,0,1,0,2,6,0,11,0,1,0,0,0,1,0.2,0.304,0.25,0.554,*H4
889,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
890,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
891,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
892,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
893,29,14,21,20,2,2,0,0,0,0,1,1,8,0,0,0,0,0,0,0.1,0.143,0.1,0.243,*H/7
894,30,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/*1
895,26,31,66,63,8,20,4,0,4,10,2,1,19,1,0,0,1,0,0,0.317,0.348,0.571,0.92,3H/9
896,25,13,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,*1
897,26,28,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,*1
898,31,102,383,338,51,99,26,0,21,49,40,1,76,4,0,1,4,5,0,0.293,0.373,0.556,0.93,*37H/9D
899,33,32,24,23,1,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,*1
900,22,18,38,28,1,4,0,0,0,0,9,0,11,0,1,0,1,0,0,0.143,0.351,0.143,0.494,*H/897
901,30,135,609,551,72,153,33,0,7,53,51,1,75,1,0,6,14,6,6,0.278,0.337,0.376,0.712,*4/H
902,27,4,10,9,1,2,1,0,0,1,1,0,5,0,0,0,0,0,0,0.222,0.3,0.333,0.633,/*9
903,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
904,32,115,372,348,23,88,18,1,5,26,20,2,42,0,1,3,8,2,3,0.253,0.291,0.353,0.645,32H/D
905,36,18,63,59,4,8,3,0,1,2,4,0,11,0,0,0,1,1,0,0.136,0.19,0.237,0.428,*3/H
906,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*2
907,28,81,165,147,9,36,6,0,3,9,13,3,38,0,4,1,0,1,0,0.245,0.304,0.347,0.651,4H56
908,31,162,708,650,106,180,29,10,20,74,52,3,130,3,0,3,13,13,6,0.277,0.332,0.445,0.777,*9/H8
909,30,68,201,177,21,45,5,3,2,10,20,0,36,3,1,0,1,6,1,0.254,0.34,0.35,0.69,6H4/5
910,36,8,8,6,1,2,1,0,0,0,0,0,3,0,2,0,0,0,0,0.333,0.333,0.5,0.833,/*1
911,26,88,348,329,40,94,12,9,8,36,16,0,60,1,1,1,9,6,3,0.286,0.32,0.45,0.77,978/H
912,32,157,628,560,61,147,38,0,21,75,58,2,112,6,0,4,19,3,2,0.263,0.336,0.443,0.779,*6/HD
913,38,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
914,25,32,68,57,4,3,2,0,0,3,2,0,24,0,8,1,1,0,0,0.053,0.083,0.088,0.171,*1
915,25,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,,,/*H
916,28,49,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
917,24,4,10,10,2,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0.2,0.2,0.2,0.4,/*9*8
918,23,8,6,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.2,0.333,0.2,0.533,/*456H
919,27,61,109,100,13,17,7,0,1,3,5,0,25,2,2,0,3,0,1,0.17,0.224,0.27,0.494,*78H/9
920,23,8,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/*1
921,32,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
922,25,29,95,85,10,23,5,0,1,4,5,0,26,0,5,0,2,0,0,0.271,0.311,0.365,0.676,*2
923,24,150,606,578,57,150,28,2,17,70,22,2,85,3,0,3,22,1,0,0.26,0.289,0.403,0.692,*2/DH
924,31,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
925,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
926,24,27,58,53,3,6,0,0,0,0,2,1,18,1,2,0,1,2,0,0.113,0.161,0.113,0.274,*45/H
927,29,37,100,97,14,27,8,0,2,9,1,0,25,2,0,0,1,0,1,0.278,0.3,0.423,0.723,*65/H4D
928,29,39,27,25,2,1,0,0,0,0,1,0,13,0,1,0,0,0,0,0.04,0.077,0.04,0.117,*1
929,26,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
930,23,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/*1
931,26,6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,/*H79
932,26,11,38,37,4,8,2,0,3,7,0,0,11,0,0,1,0,0,0,0.216,0.211,0.514,0.724,*2
933,27,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,/*H
934,27,32,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,*1
935,33,121,499,462,44,123,25,0,8,51,23,1,74,6,2,6,13,2,3,0.266,0.306,0.372,0.678,*4
936,37,102,362,338,25,85,12,1,5,37,14,2,54,5,1,4,13,0,1,0.251,0.288,0.337,0.625,*2H/D
937,25,53,122,116,19,31,9,0,2,7,4,0,28,1,0,1,3,1,2,0.267,0.295,0.397,0.692,*78H/9D
938,24,20,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,*1
939,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
940,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
941,25,57,197,169,25,37,8,0,7,18,24,0,50,1,0,3,7,0,1,0.219,0.315,0.391,0.705,2DH
942,24,7,25,24,6,8,1,2,0,3,1,0,4,0,0,0,1,0,0,0.333,0.36,0.542,0.902,/*4DH
943,28,136,582,520,69,134,40,2,14,80,53,2,109,4,0,5,12,2,1,0.258,0.328,0.423,0.751,*5/DH
944,22,89,312,277,50,65,9,0,7,33,30,1,59,0,2,2,1,14,5,0.235,0.307,0.343,0.65,*9H
945,20,5,8,6,2,2,1,1,0,3,2,0,2,0,0,0,0,0,0,0.333,0.5,0.833,1.333,/*6*H
946,26,75,287,265,41,80,19,6,7,24,19,0,46,2,1,0,4,14,3,0.302,0.353,0.498,0.851,*8/H7
947,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
948,21,17,43,39,5,9,1,2,1,4,4,0,12,0,0,0,0,1,0,0.231,0.302,0.436,0.738,/*7H8D
949,25,32,5,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,*1
950,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
951,27,147,605,547,72,170,28,2,22,89,47,5,69,3,0,8,16,0,1,0.311,0.364,0.49,0.854,*23/HD
952,30,143,573,536,62,151,26,4,12,58,26,0,80,7,0,4,20,3,1,0.282,0.321,0.412,0.733,*54/9H7
953,28,89,271,254,22,62,6,1,6,19,13,0,44,1,1,2,3,5,1,0.244,0.281,0.346,0.628,789H/D
954,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
955,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
956,28,34,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,*1
957,30,2,4,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,/*7*9
958,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
959,23,148,640,558,92,165,37,9,16,69,67,3,124,12,2,1,7,11,7,0.296,0.382,0.48,0.863,*98/HD
960,34,159,695,633,89,172,37,1,28,105,48,11,71,5,0,9,28,5,1,0.272,0.324,0.466,0.79,*3D/5
961,36,73,224,198,21,41,7,2,2,14,25,0,56,0,1,0,5,3,1,0.207,0.296,0.293,0.589,*4H6/59D
962,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
963,26,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
964,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
965,25,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
966,35,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
967,31,50,155,130,9,23,6,0,4,18,17,0,33,4,0,4,5,0,0,0.177,0.284,0.315,0.599,*7H/D
968,25,32,10,9,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,*1
969,32,15,31,29,2,6,1,0,0,3,2,0,5,0,0,0,1,0,0,0.207,0.258,0.241,0.499,*6/H4
970,34,3,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,/*2
971,32,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/*2
972,33,74,212,195,18,39,7,0,4,22,13,1,51,1,0,3,8,0,0,0.2,0.25,0.297,0.547,D97H/3
973,32,158,657,622,82,170,35,2,15,74,24,0,81,6,1,4,21,21,4,0.273,0.305,0.408,0.713,*6/H
974,36,133,531,494,47,141,23,1,15,66,21,2,75,13,0,3,18,3,0,0.285,0.33,0.427,0.757,*5/DH
975,24,17,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,*1
976,30,128,512,449,64,127,35,0,13,71,56,2,84,6,0,1,10,14,5,0.283,0.369,0.448,0.817,*6/HD
977,21,68,266,237,27,62,10,2,2,17,13,0,35,1,13,2,3,10,1,0.262,0.3,0.346,0.646,*64/HD
978,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
979,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
980,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
981,27,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
982,30,43,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*1
